question,answer,card_type,choices
"What is the largest planet in our solar system?",Jupiter,basic,
"Which planet is known as the Red Planet?",Mars,multiple_choice,"Mars|Venus|Saturn|Mercury"
"Mercury is the closest planet to the Sun.",True,true_false,
"Which planet has the most prominent ring system?",Saturn,basic,
"Which planet is famous for its Great Red Spot storm?",Jupiter,multiple_choice,"Earth|Jupiter|Neptune|Mars"
"Venus is hotter than Mercury.",True,true_false,
"Which planet is known for its blue color caused by methane gas?",Neptune,basic,
"Which planet is the smallest in our solar system?",Mercury,multiple_choice,"Mars|Mercury|Venus|Earth"
"Earth is the only known planet to support life.",True,true_false,
"Which planet is tilted on its side, making its rotation unusual?",Uranus,basic,
